key,english,korean
councilor_augmentation_bazaars,Implant Impresario,삽입물 책임자
councilor_barbaric_despoilers,Labor Intendant,근로 감독관
councilor_beacon_of_liberty,Protector of Liberty,자유 보호자
councilor_beastmasters,Beastlord,비스트로드
councilor_brand_loyalty,Brand Manager,브랜드 관리자
councilor_byzantine_bureaucracy,Administrative Coordinator,행정 총괄
councilor_catalytic_processing,Principal Catalyst,제1 촉매
councilor_chief_medium,Chief Medium,최고 영매사
councilor_chosen,Shroudspeaker,장막 대변인
councilor_chosen_corporate,Grand Preacher,대설교자
councilor_citizen_service,Chief of Service,참모총장
councilor_civic_guided_sapience,Master of Guidance,최고 인도자
councilor_civic_guided_sapience_corperate,Director of Guidance,인도부 이사
councilor_corporate_anglers,Chief Marine Officer,최고 해양 책임자
councilor_corporate_ascensionists,Chief Ascension Officer,최고 승격 책임자
councilor_corporate_beastmasters,Head Rancher,수석 목축업자
councilor_corporate_catalytic_processing,Chief Catalyst Officer,최고 촉매 책임자
councilor_corporate_crowdsourcing,Umpire of Ideas,아이디어 평가관
councilor_corporate_dominion,Chief Trade Officer,최고 무역 책임자
councilor_corporate_galactic_curators,Curation Officer,큐레이션 담당관
councilor_corporate_genetic_identification,Sequence Broker,염기 서열 브로커
councilor_corporate_hedonism,Chief Morale Officer,최고 동기 부여 책임자
councilor_corporate_imbuement_officer,Mimetic Agency Officer,의태 대행 책임자
councilor_corporate_toxic_baths,Mutagenic Aesthetician,변이 유발 미용사
councilor_corporate_toxic_baths_individual_machine,Terminal Overseer,단말기 감독관
councilor_corvee_system,Employment Commissioner,고용국장
councilor_crafters,Master Crafter,제작 장인
councilor_criminal_heritage,Syndication Agency Officer,신디케이트 대행 책임자
councilor_crowdsourcing,Innovation Coordinator,혁신 총괄
councilor_crusader_spirit,Lord Commander,기사단장
councilor_crusader_spirit_corporate,Privateer Acquisition Officer,사략단 모집 책임자
councilor_crusader_spirit_female,Lady Commander,기사단장
councilor_curator_archivist,Curator Archivist,큐레이터 기록 관리관
councilor_cutthroat_politics,Prime Speaker,수석 대변인
councilor_dark_consortium,Shadow Weaver,그림자 직공
councilor_dark_consortium_corporate,Shadow Broker,그림자 중개인
councilor_death_cult,Apostle of Death,죽음의 사도
councilor_death_cult_corporate,Chief Executive Executioner,최고 처형 책임관
councilor_defense,Minister of Defense,국방부 장관
councilor_dimensional_worship,Astral Minister,아스트랄 장관
councilor_diplomatic_corps,High Ambassador,고위 대사관
councilor_distinguished_admiralty,Lord High Admiral,해군 최고 사령관
councilor_distinguished_admiralty_female,Lady High Admiral,해군 최고 사령관
councilor_dystopian_society,Primary Overseer,제1 감독관
councilor_eager_explorers,Minister of Exploration,탐사부 장관
councilor_efficient_bureaucracy,Superintendent,관리관
councilor_enclave_trader,Trader Liaison,무역상 연락 담당관
councilor_energy_curator,Energy Curator,에너지 큐레이터
councilor_environmental_architects,First Planetscaper,일등 행성 조경사
councilor_environmental_architects_megacorp,Chief Geoscaping Officer,최고 지질 조경 책임자
councilor_environmentalist,First Warden,제1 관리원
councilor_exalted_priesthood,Archpriest,최고 사제
councilor_executive_astrologist,Executive Astrologist,최고 점성가
councilor_executive_thrall_manager,Executive Thrall Manager,총괄 노예 관리자
councilor_executive_vessel,Executive Vessel,경영 관리 유닛
councilor_experimentation_overseer,Experimentation Overseer,실험 감독관
councilor_franchising,Franchise Development Officer,프랜차이즈 개발 책임자
councilor_free_haven,Integration Facilitator,통합 장려관
councilor_functional_architecture,Master Architect,건축 장인
councilor_galactic_curators,Supreme Curator,최고 큐레이터
councilor_genetic_identification,Indexor,등록관
councilor_gestalt_cognitive,Cognitive Node,인지 노드
councilor_gestalt_growth,Growth Node,성장 노드
councilor_gestalt_legion,Legion Node,군단 노드
councilor_gestalt_regulatory,Regulatory Node,규제 노드
councilor_gospel_of_the_masses,Executive High Priest,집행 대사제
councilor_grand_vessel,Grand Vessel,최고 감독 유닛
councilor_harmony,Councilor Harmony,조화로운 평의원
councilor_head_of_education,Head of Education,교육부 장관
councilor_head_treasure_hunter,Head Treasure Hunter,수석 보물 사냥꾼
councilor_heroic_tales,Grand Storyteller,위대한 이야기꾼
councilor_hyperspace_specialty,Hyperlane Supervisor,초공간 항로 감독관
councilor_idealistic_foundation,Tribune of Rights,권리 호민관
councilor_idyllic_bloom,Bloom Herald,만개의 전령
councilor_imbuement_officer,Mimetic Overseer,의태 감독관
councilor_imperial_cult,Prime Herald,수석 전령
councilor_indentured_assets,Assets Appropriation Officer,자산 책정 책임자
councilor_individual_machine_predictive_analysis,Methodology Lead Analyst,방법론 선임 분석가
councilor_individual_machine_replication,Replication Coordination Officer,복제 조율 담당관
councilor_individual_machine_warbots,Combat Logistician,전투 군수관
councilor_infernal_scorcher,Prime Scorcher,수석 추진자
councilor_machine_admiral,Extermination Directive,말살 지시
councilor_machine_general,Exploitation Directive,개발 지시
councilor_media_conglomerate,Chief Marketing Officer,최고 마케팅 책임자
councilor_memorialist,High Curator,고위 큐레이터
councilor_memory_vault_corporate,Dealer of Knowledge,지식 취급자
councilor_merchant_guilds,Director of Trade,무역국장
councilor_meritocracy,Principal Instructor,최고 교육자
councilor_mindwarden,Thought Warden,사고 파수꾼
councilor_mining_guilds,Chairman of Mines,광산 위원장
councilor_nationalistic_zeal,Standard Bearer,기수
councilor_natural_design,Grand Genomicist,대유전학자
councilor_naval_contractors,Naval Procurement Officer,해군 조달 장교
councilor_parliamentary_system,Speaker of Parliament,의회 의장
councilor_permanent_employment,Workforce Assignment Manager,인력 배정 관리자
councilor_philosopher_king,Lord Chancellor,상원 의장
councilor_philosopher_king_female,Lady Chancellor,상원 의장
councilor_pleasure_seekers,Minister of Extravagance,사치부 장관
councilor_pompous_purists,Grand Marshal,대원수
councilor_private_healthcare_corporate,Pharmaceutical Executive,제약 이사
councilor_private_military_companies,Public Security Chief,치안부장
councilor_private_prospectors,Expansion Coordinator,확장 총괄
councilor_privatized_exploration,Orbital Development Officer,궤도 개발 책임자
councilor_psionic_sovereign,Divine Conduit,신성한 도관
councilor_public_relations_specialists,Exopublic Relations Officer,대외 관계 책임자
councilor_pyromanic_priest,Pyromanic Priest,화염광 사제
councilor_reanimated_armies,Master Necromancer,고위 사령술사
councilor_relentless_industrialists,Chief Extraction Officer,최고 채굴 책임자
councilor_relentless_industrialists_female,Executive Extraction Officer,최고 채굴 책임자
councilor_research,Head of Research,연구부장
councilor_ruler,Ruler,통치자
councilor_ruthless_competition,Chief of Staff,비서실장
councilor_scavengers,Master Scrapper,고철주이 장인
councilor_secret_societies,Conspirator Liaison,비밀 담당관
councilor_secret_societies_corporate,Manipulator Liaison,조작 담당관
councilor_shadow_council,Shadow Councilor,그림자 평의원
councilor_shared_burden,Head Arbiter,수석 중재관
councilor_shroudwalker_teacher,Shroudwalker Teacher,장막을 걷는 자 스승
councilor_slaver_guilds,Labor Magistrate,노동 치안 판사
councilor_sovereign_guardianship,First Citadel,첫 번째 성채
councilor_sovereign_guardianship_corporate,Secretary of Defense,호국 장관
councilor_state,Minister of State,국무부 장관
councilor_synth_imbuement_officer,Mimetic Mainframe,의태 메인프레임
councilor_task_delegation_corporate,Chief Posting Officer,최고 배치 책임자
councilor_technocracy,Senior Science Director,선임 과학 이사
councilor_test_marketer,Test Marketer,테스트 마케터
councilor_thermal_engineer,Thermal Engineer,열 공학자
councilor_trading_posts,Trade Logistics Coordinator,무역 물류 총괄
councilor_warrior_culture,Arbiter of Duels,결투 중재자
crisis_behemoth_level_1_desc,Crisis Level 1,위기 단계 1
crisis_behemoth_level_2_desc,Crisis Level 2,위기 단계 2
crisis_behemoth_level_3_desc,Crisis Level 3,위기 단계 3
crisis_behemoth_level_4_desc,Crisis Level 4,위기 단계 4
crisis_behemoth_level_5_desc,Crisis Level 5,위기 단계 5
crisis_conduit_buff,Stellar Supervision,항성 감독
crisis_corvette,Menacing Corvette,위협적인 초계함
crisis_corvette_plural,Menacing Corvettes,위협적인 초계함
crisis_cruiser,Menacing Cruiser,위협적인 순양함
crisis_cruiser_plural,Menacing Cruisers,위협적인 순양함
crisis_dark_matter_cap,Crisis Empire,위기 제국
crisis_destroyer,Menacing Destroyer,위협적인 구축함
crisis_destroyer_plural,Menacing Destroyers,위협적인 구축함
crisis_empire_base,Crisis,위기
crisis_level_reached,Crisis Level potential,위기 단계 잠재력
crisis_mean_conquer_colony_name,Conquer a colony,식민지 정복
crisis_mean_destroy_empire_name,Destroy an empire,제국 파괴
crisis_mean_destroy_starbase_name,Destroy a starbase,항성 기지 파괴
crisis_path_deception_name,Path of Deception,기만의 길
crisis_path_destruction_name,Path of Destruction,파괴의 길
crisis_path_supremacy_name,Path of Supremacy,우월의 길
crisis_perk,Crisis Perk,위기 특전
crisis_perk_active_effect,Active Effect:,활성 효과:
crisis_perk_passive_effect,Passive Effect:,지속 효과:
crisis_perk_plural,Crisis Perks,위기 특전
crisis_perk_to_unlock,To Unlock:,잠금 해제 조건:
crisis_perks_deception_dance_puppets_title,"Dance, Puppets!","춤춰라, 꼭두각시들아!"
crisis_perks_deception_shadowplay_title,Shadowplay,그림자 연극
crisis_perks_supremacy_primus_inter_pares_title,Primus Inter Pares,동등한 자 중 제1인자
crisis_perks_supremacy_privateering_title,Privateering,사략 활동
crisis_perks_supremacy_support_is_mandatory_title,Support is Mandatory,지원은 의무
crisis_research_1,Research Mobilization,연구 동원
crisis_research_2,Suspended Ethical Protocols,윤리 프로토콜 중단
crisis_sphere_0,Aetherophasic Engine Frame,에테르페이직 엔진 골조
crisis_sphere_1,Partial Aetherophasic Engine,에테르페이직 엔진 일부
crisis_sphere_4,Aetherophasic Engine,에테르페이직 엔진
crisis_star_eater,Star-Eater,스타 이터
crisis_star_eater_plural,Star-Eaters,스타 이터
crisis_studied,Skrand Crisis Insight,스크랜드 위기 통찰
crisis_thermophile_adaptation,Thermophilic Adaptation,호열성 적응
decision_abolish_gestation_colony,Abolish Gestation World,육성 행성 해제
decision_abolish_penal_colony,Abolish Penal Colony,형벌 식민지 해제
decision_abolish_resort_colony,Abolish Planetary Resort,리조트 행성 해제
decision_abolish_slave_colony,Abolish Thrall-World,노예 행성 해제
decision_arcology_project_relic,Restore Ecumenopolis,도시 행성 복구
decision_art_monument,Exhibit Art Monument,예술 기념물 전시
decision_artifact_relays_hivemind,Incorporate Artifact Relays,유물 중계기 통합
decision_banish,Banish,추방
decision_baol_life_seed,Nu-Baol Life-Seeding,누-바올 생명 파종
decision_baol_life_seed_enhance,Nu-Baol Life-Enhancing,누-바올 생명 강화
decision_blazing_scourge,Blazing Scourge,타오르는 재앙
decision_bleak_planet,Soil Rehabilitation,토양 복원
decision_boost_market_nomination,Boost Nomination Bid,후보 등록 노력 강화
decision_breed_rockworm_hive,Rockworm Hive,바위벌레 둥지
decision_build_dayside_farm,Day Farm Construction,태양광 발전소 건설
decision_cease_psi_inoculate_pops,Cease Psi-Inoculation,사이오닉 주입 중단
decision_consecrate_habitat_knights,Consecrate Habitat,거주지 축성
decision_consecrated_worlds,Consecrate World,축성 행성
decision_crystalline_architecture,Crystalline Construction,크리스탈 건설
decision_crystalline_refugees,Settle Crystalline Refugees,크리스탈 결정체 난민 정착
decision_cultivated_worldscaping,Cultivated Worldscaping,행성 조경 조성
decision_dangerous_wildlife,Hostile Fauna Removal,적대적 동물군 제거
decision_demolish_art_monument,Remove Art Monument,예술 기념물 철거
decision_deploy_beholder,Deploy Murmuring Monolith,속삭이는 거상 전개
decision_discourage_growth,Discourage Planetary Growth,행성 성장 억제
decision_display_microplanet_husk,Display Microplanet Husk,극소 행성 잔해 전시
decision_divine_algorithm,Implement Divine Algorithm,신성 알고리즘 실행
decision_divine_deposits,Divine for Deposits,매장지 탐색
decision_dreamscaping,Dreamscaping,꿈 조경
decision_enact_population_control,Declare Population Controls,인구 통제 선포
decision_enact_population_control_gestalt,Cease Drone Production,드론 생산 중단
decision_enact_robot_assembly_control,Cease Robot Assembly,로봇 조립 중단
decision_end_anticrime_campaign,End Anti-Crime Campaign,범죄 예방 캠페인 중단
decision_end_discourage_growth,End Growth Discouragement,성장 억제 중단
decision_end_martial_law,End Martial Law,계엄령 해제
decision_end_martial_law_hive,Recall Hunter-Killer Drones,추적 말살 드론 회수
decision_end_martial_law_machine,End Compliance Protocols,순응 프로토콜 해제
decision_end_population_control,End Population Controls,인구 통제 해제
decision_end_population_control_gestalt,Continue Drone Production,드론 생산 재개
decision_end_robot_assembly_control,Resume Robot Assembly,로봇 조립 재개
decision_entrap_shroud_entity,Entrap Shroud Entity,장막의 존재 포획
decision_expand_dayside,Expand Dayside Infrastructure,태양 면 기반 시설 확충
decision_expand_planetary_sea,Expand Planetary Sea,행성의 바다 확장
decision_expand_preserves,Expand Preservers,보호 구역 확장
decision_expel_population,Expel Excess Population,과잉 인구 추방
decision_flood_habitat,Flood Habitat,거주지 침수
decision_fractal_seed,Fractal Seed,프랙털 씨앗
decision_geologist_prospect,Geologist Resource Survey,지리학자 자원 탐사
decision_gestation_colony,Create Gestation World,육성 행성 생성
decision_gh_life_seeding,Life Seeding,생명 파종
decision_hunker_down,Hunker Down,대비 태세
decision_incubate_wind_creatures,Incubate Wind Creatures,바람 종족 육성하기
decision_introduce_chaos,Introduce Chaos,혼란 선동
decision_launch_anticrime_campaign,Launch Anti-Crime Campaign,범죄 예방 캠페인 시행
decision_lithoid_swarm_consume_world,Consume World,행성 포식
decision_machine_oracle,Activate Oracle Nexus,예언자 연결체 활성화
decision_make_holy_world,Hallow Planet,성지 행성
decision_manager_awards,Initiate Performance Competition,실적 경쟁 시작
decision_martial_law,Declare Martial Law,계엄령 선포
decision_martial_law_hive,Deploy Hunter-Killer Drones,추적 말살 드론 배치
decision_martial_law_machine,Activate Compliance Protocols,순응 프로토콜 발동
decision_nanotech_swarm_consume_world,Subsume World,행성 포합
decision_naturalist_prospect,Naturalist Resource Survey,박물학자 자원 탐사
decision_open_shroud_rift,Pierce the Shroud,장막 균열 생성
decision_paragon_origin_subdue_reformists,Anti Reformist Raids,개혁파 급습
decision_penal_colony,Create Penal Colony,형벌 식민지 생성
decision_planet_food_boost,Encourage Planetary Growth,행성 성장 촉진
decision_planet_luxuries_boost,Distribute Luxury Goods,사치품 분배
decision_planetary_workshift,Enforce Planetary Workshifts,행성 교대 근무령 시행
decision_prismatic_ice_exhibit,Prismatic Ice Exhibit,무지갯빛 빙하 전시회
decision_prospect,Planetary Prospecting,행성 탐사
decision_prospect_void,Orbital Surveying,궤도 탐사
decision_psi_inoculate_pops,Begin Psi-Inoculation,사이오닉 주입 시작
decision_rebuild_genesis_preserve,Build Genesis Preserve,창조 보호 구역 건설
decision_reduce_server_load,Reduce Server Load,서버 부하 완화
decision_remove_wreckage,Remove Wreckage,잔해 제거
decision_reorganize_leviathan_parade,Relocate the Parade,행진 이전
decision_resort_colony,Create Resort World,리조트 행성 생성
decision_revoke_market_nomination,Revoke Nomination,후보 등록 취소
decision_server_shut_down,Server Shut Down,서버 가동 중단
decision_shattered_ring_project_interloper,Remove the Interloper,침입자 제거
decision_slave_colony,Create Thrall-World,노예 행성 생성
decision_strip_mining,Strip Mining,노천 채굴
decision_stripmine_planet,Strip Mine Planet,노천 광산 행성
decision_thought_police,Thought Police,사고 경찰
decision_tidal_lock_planet,Intentional Tidal Locking,고의적 동주기 자전
decision_toxify_world,Toxify World,행성 독성화
decision_unconsecrated_worlds,Unconsecrate World,행성 축성 해제
decision_uproot_weed,Uproot Weeds,잡초 뽑기
decision_wilderness_expand,Expand Planet Size,행성 크기 확장
deposit_blockers,Blockers,차단물
deposit_blockers_natural,Naturally Occurring Blockers,천연 차단물
district_arcology_administrative,Administrative Arcology,행정 아콜로지
district_arcology_administrative_plural,Administrative Arcologies,행정 아콜로지
district_arcology_arms_industry,Foundry Arcology,주조 아콜로지
district_arcology_arms_industry_plural,Foundry Arcologies,주조 아콜로지
district_arcology_civilian_industry,Factory Arcology,공장 아콜로지
district_arcology_civilian_industry_plural,Factory Arcologies,공장 아콜로지
district_arcology_fortress,Fortress Arcology,요새 아콜로지
district_arcology_fortress_plural,Fortress Arcologies,요새 아콜로지
district_arcology_housing,Residential Arcology,거주 아콜로지
district_arcology_housing_plural,Residential Arcologies,거주 아콜로지
district_arcology_leisure,Leisure Arcology,휴양 아콜로지
district_arcology_leisure_plural,Leisure Arcologies,휴양 아콜로지
district_arcology_mixed_industry,Industrial Arcology,산업 아콜로지
district_arcology_mixed_industry_plural,Industrial Arcologies,산업 아콜로지
district_arcology_name,Unallocated Towers,미할당 탑
district_arcology_organic_housing,Sanctuary Arcology,안식처 아콜로지
district_arcology_organic_housing_plural,Sanctuary Arcologies,안식처 아콜로지
district_arcology_research,Research Arcology,연구 아콜로지
district_arcology_research_engineering,Engineering Arcology,공학 아콜로지
district_arcology_research_engineering_plural,Engineering Arcologies,공학 아콜로지
district_arcology_research_physics,Physics Arcology,물리학 아콜로지
district_arcology_research_physics_plural,Physics Arcologies,물리학 아콜로지
district_arcology_research_plural,Research Arcologies,연구 아콜로지
district_arcology_research_society,Biology Arcology,생물학 아콜로지
district_arcology_research_society_plural,Biology Arcologies,생물학 아콜로지
district_arcology_spiritualist,Ecclesiastical Arcology,종교 아콜로지
district_arcology_spiritualist_plural,Ecclesiastical Arcologies,종교 아콜로지
district_arcology_trade,Commercial Arcology,상업 아콜로지
district_arcology_trade_plural,Commercial Arcologies,상업 아콜로지
district_arcology_urban_1,Unspecialized Arcology,비특성화 아콜로지
district_arcology_urban_1_plural,Unspecialized Arcologies,비특성화 아콜로지
district_battle_thrall,Battle Thrall District,전투 노예 지구
district_battle_thrall_plural,Battle Thrall Districts,전투 노예 지구
district_city,City District,도시 지구
district_city_plural,City Districts,도시 지구
district_cosmogenesis_goverment_plural,Synaptic Processing Units,시냅스 처리 장치
district_cosmogenesis_world_logic,Ampliative Speculator,확장형 추측기
district_cosmogenesis_world_logic_plural,Ampliative Speculators,확장형 추측기
district_cosmogenesis_world_science,Neural Gate,신경 게이트
district_cosmogenesis_world_science_plural,Neural Gates,신경 게이트
district_craglands,Communal Biome,동반 생물군계
district_craglands_plural,Communal Biomes,동반 생물군계
district_crashed_slaver_ship,Scavenger Site,고철 수거지
district_crashed_slaver_ship_plural,Scavenger Sites,고철 수거지
district_farming,Agriculture District,농업 지구
district_farming_plural,Agriculture Districts,농업 지구
district_generator,Generator District,발전 지구
district_generator_plural,Generator Districts,발전 지구
district_geothermal,Geothermal Powerplant,지열 발전소
district_geothermal_plural,Geothermal Powerplants,지열 발전소
district_hab_commercial,Trade District,무역 지구
district_hab_commercial_plural,Trade Districts,무역 지구
district_hab_cultural_plural,Leisure Districts,휴양 지구
district_hab_energy,Reactor District,반응로 지구
district_hab_energy_plural,Reactor Districts,반응로 지구
district_hab_housing,Habitation District,거주지 지구
district_hab_housing_plural,Habitation Districts,거주지 지구
district_hab_industrial,Industrial District,산업 지구
district_hab_industrial_plural,Industrial Districts,산업 지구
district_hab_mining_plural,Astro-Mining Bays,우주 채굴소
district_hab_science,Research District,연구 지구
district_hab_science_plural,Research Districts,연구 지구
district_hive,Hive Cluster,군체 군집
district_hive_1,Unspecialized Cluster,비특성화 군집
district_hive_1_plural,Unspecialized Clusters,비특성화 군집
district_hive_administrative,Synapse Cluster,연접 군집
district_hive_administrative_plural,Synapse Clusters,연접 군집
district_hive_energy,Generator Cluster,발전 군집
district_hive_energy_plural,Generator Clusters,발전 군집
district_hive_factory,Factory Cluster,공장 군집
district_hive_factory_plural,Factory Clusters,공장 군집
district_hive_food,Agricultural Cluster,농업 군집
district_hive_food_plural,Agricultural Clusters,농업 군집
district_hive_fortress,Fortress Cluster,요새 군집
district_hive_fortress_plural,Fortress Clusters,요새 군집
district_hive_foundry,Foundry Cluster,주조 군집
district_hive_foundry_plural,Foundry Clusters,주조 군집
district_hive_industrial,Industrial Cluster,산업 군집
district_hive_industrial_plural,Industrial Clusters,산업 군집
district_hive_mining,Mining Cluster,채굴 군집
district_hive_mining_plural,Mining Clusters,채굴 군집
district_hive_plural,Hive Clusters,군체 군집
district_hive_research,Research Cluster,연구 군집
district_hive_research_engineering,Engineering Cluster,공학 군집
district_hive_research_engineering_plural,Engineering Clusters,공학 군집
district_hive_research_physics,Physics Cluster,물리학 군집
district_hive_research_physics_plural,Physics Clusters,물리학 군집
district_hive_research_plural,Research Clusters,연구 군집
district_hive_research_society,Biology Cluster,생물학 군집
district_hive_research_society_plural,Biology Clusters,생물학 군집
district_hive_spawning,Spawning Cluster,산란 군집
district_hive_spawning_plural,Spawning Clusters,산란 군집
district_hive_trade,Logistics Cluster,물류 군집
district_hive_trade_plural,Logistics Clusters,물류 군집
district_hollow_mountains,Hollow Mountain,텅 빈 산
district_hollow_mountains_plural,Hollow Mountains,텅 빈 산
district_machine_coordination,Coordination District,조정 지구
district_machine_coordination_plural,Coordination Districts,조정 지구
district_melting,Magma Conduit,마그마 도관
district_melting_plural,Magma Conduits,마그마 도관
district_mindlink,Mindlink Metropolis,정신 연결 메트로폴리스
district_mining,Mining District,채굴 지구
district_mining_plural,Mining Districts,채굴 지구
district_nexus,Central Nexus,중앙 연결체
district_nexus_1,Unspecialized Nexus,비특성화 연결체
district_nexus_1_plural,Unspecialized Nexuses,비특성화 연결체
district_nexus_administrative,Coordination Nexus,조정 연결체
district_nexus_administrative_plural,Coordination Nexuses,조정 연결체
district_nexus_energy,Generator Nexus,발전 연결체
district_nexus_energy_plural,Generator Nexuses,발전 연결체
district_nexus_exotic_gases,Agricultural Nexus,농업 연결체
district_nexus_exotic_gases_plural,Agricultural Nexuses,농업 연결체
district_nexus_factory,Factory Nexus,공장 연결체
district_nexus_factory_plural,Factory Nexuses,공장 연결체
district_nexus_fortress,Fortress Nexus,요새 연결체
district_nexus_fortress_plural,Fortress Nexuses,요새 연결체
district_nexus_foundry,Foundry Nexus,주조 연결체
district_nexus_foundry_plural,Foundry Nexuses,주조 연결체
district_nexus_industrial,Industrial Nexus,산업 연결체
district_nexus_industrial_plural,Industrial Nexuses,산업 연결체
district_nexus_mining,Mining Nexus,채굴 연결체
district_nexus_mining_plural,Mining Nexuses,채굴 연결체
district_nexus_name,Awaiting Assignment,배정 대기 중
district_nexus_organic_housing,Sanctuary Nexus,보호처 연결체
district_nexus_organic_housing_plural,Sanctuary Nexuses,안식처 연결체
district_nexus_plural,Central Nexuses,중앙 연결체
district_nexus_research,Research Nexus,연구 연결체
district_nexus_research_engineering,Engineering Nexus,공학 연결체
district_nexus_research_engineering_plural,Engineering Nexuses,공학 연결체
district_nexus_research_physics,Physics Nexus,물리학 연결체
district_nexus_research_physics_plural,Physics Nexuses,물리학 연결체
district_nexus_research_plural,Research Nexuses,연구 연결체
district_nexus_research_society,Biology Nexus,생물학 연결체
district_nexus_research_society_plural,Biology Nexuses,생물학 연결체
district_nexus_spiritualist,Ecclesiastical Nexus,종교 연결체
district_nexus_spiritualist_plural,Ecclesiastical Nexuses,종교 연결체
district_nexus_trade,Logistics Nexus,물류 연결체
district_nexus_trade_plural,Logistics Nexuses,물류 연결체
district_orchard_forests,Orchard Forest,과수원 숲
district_orchard_forests_plural,Orchard Forests,과수원 숲
district_orders_demesne,Order's Demesne,기사단의 영지
district_orders_demesne_plural,Order's Demesnes,기사단의 영지
district_photosynthesis_fields,Photosynthesis Field,광합성 지대
district_photosynthesis_fields_plural,Photosynthesis Fields,광합성 지대
district_polytechnic,Thermotechnic Forum,열 기술 포럼
district_polytechnic_plural,Thermotechnic Forums,열 기술 포럼
district_prison,Prison District,교정 지구
district_prison_industrial,Prison Industrial District,교정 산업 지구
district_prison_industrial_plural,Prison Industrial Districts,교정 산업 지구
district_prison_plural,Prison Districts,교정 지구
district_resort,Accommodation District,숙박 지구
district_resort_1,Attraction Districts,오락 지구
district_resort_plural,Accommodation Districts,숙박 지구
district_ring_world_administrative,Administrative Segment,행정 구간
district_ring_world_administrative_plural,Administrative Segments,행정 구간
district_ring_world_energy,Generator Segment,발전기 구간
district_ring_world_energy_plural,Generator Segments,발전기 구간
district_ring_world_factory,Factory Segment,공장 구간
district_ring_world_factory_plural,Factory Segments,공장 구간
district_ring_world_food,Agricultural Segment,농업 구간
district_ring_world_food_plural,Agricultural Segments,농업 구간
district_ring_world_fortress,Fortress Segment,요새 구간
district_ring_world_fortress_plural,Fortress Segments,요새 구간
district_ring_world_foundry,Foundry Segment,주조 구간
district_ring_world_foundry_plural,Foundry Segments,주조 구간
district_ring_world_industrial,Industrial Segment,산업 구간
district_ring_world_industrial_plural,Industrial Segments,산업 구간
district_ring_world_organic_housing,Sanctuary Segment,안식처 구간
district_ring_world_organic_housing_plural,Sanctuary Segments,안식처 구간
district_ring_world_research,Research Segment,연구 구간
district_ring_world_research_engineering,Engineering Segment,공학 구간
district_ring_world_research_engineering_plural,Engineering Segments,공학 구간
district_ring_world_research_physics,Physics Segment,물리학 구간
district_ring_world_research_physics_plural,Physics Segments,물리학 구간
district_ring_world_research_plural,Research Segments,연구 구간
district_ring_world_research_society,Biology Segment,생물학 구간
district_ring_world_research_society_plural,Biology Segments,생물학 구간
district_ring_world_spiritualist,Ecclesiastical Segment,종교 구간
district_ring_world_spiritualist_plural,Ecclesiastical Segments,종교 구간
district_ring_world_trade,Commercial Segment,상업 구간
district_ring_world_trade_plural,Commercial Segments,상업 구간
district_rw_city,City Segment,도시 구간
district_rw_city_plural,City Segments,도시 구간
district_rw_hive,Hive Segment,군체 구간
district_rw_hive_plural,Hive Segments,군체 구간
district_rw_nexus,Nexus Segment,연결체 구간
district_rw_nexus_plural,Nexus Segments,연결체 구간
district_rw_urban_1,Unspecialized Segment,비특성화 구간
district_rw_urban_1_plural,Unspecialized Segments,비특성화 구간
district_slave,Slave Domicile District,노예 거주 지구
district_slave_plural,Slave Domicile Districts,노예 거주 지구
edict_aggregated_memory,Aggregated Memory,취합 기억
edict_animatus,Animatus,생명 부여
edict_annihilation_of_energy,Annihilation of Energy,에너지 소멸
edict_annihilation_of_matter,Annihilation of Matter,물질 소멸
edict_astral_binding,Astral Binding,아스트랄 결합
edict_astral_cloaking,Astral Cloaking,아스트랄 은폐
edict_astral_shielding,Astral Shielding,아스트랄 보호막
edict_auto_hunker_down,Hunker Down Protocols,대비 태세 프로토콜
edict_automated_disinfection,Automated Disinfection,자동 소독
edict_baryonic_insight,Baryonic Insight,중입자 통찰
edict_battle_royale,Battle Royale,배틀 로얄
edict_beasts_burden,Beasts of Burden,동물 일꾼
edict_behemoth_alloys_augmentation,Behemoth Augmentation: Alloys,베헤모스 증강: 합금
edict_behemoth_nanite_augmentation,Behemoth Augmentation: Nanites,베헤모스 증강: 나노봇
edict_biological_overdrive,Biological Overdrive,생체 과부하
edict_bureau_of_espionage,Bureau of Espionage,첩보부
edict_capacity_overload,Capacity Overload,용량 과부하
edict_capacity_subsidies,Capacity Subsidies,에너지 보조금
edict_centrifugal_siphoning,Centrifugal Siphoning,원심 추출
edict_choral_harmony,Choral Harmony,합창의 화음
edict_clearing_motes,Volatile Land Clearance,폭발성 토지 제거
edict_covert_analysis_algorithm,Covert Analysis Algorithm,비밀 분석 알고리즘
edict_crack_the_whip,Crack The Whip,채찍질
edict_creature_welfare,Creature Welfare,동물 복지
edict_crystal_bounty,Crystal Bounty,크리스탈 전리품
edict_crystal_focus,Focusing Crystals,집중 크리스탈
edict_crystal_sonar,Crystal Sonar,크리스탈 음파 탐지기
edict_crystalline_sensors,Crystalline Sensors,크리스탈 감지기
edict_customer_insights,Customer Insights,소비자 조사
edict_cybernetic_creed_construction_edict,A Virtuous Hammering,의로운 망치
edict_cybernetic_creed_construction_labor,The Labored Masses,노동자 대중
edict_damn_the_consequences,Damn the Consequences,부작용 따윈 생각 말고
edict_dark_matter_forging,Dark Matter Forging,암흑 물질 주조
